NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
2100.0,0.15,0.2,4.0,180.0,5000.0,0.3,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.05,0.4,1.0,480.0,0.0,0.1,0.1,0.6000000000000001,17.880649021383658,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.3,0.05,2.0,0.0,1500.0,0.1,0.2,0.6000000000000001,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.25,0.4,2.0,540.0,2500.0,0.5,0.4,4.199999999999999,239.8058261329191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.35,0.15,5.0,60.0,4500.0,0.1,0.4,2.4000000000000004,60.100000000691146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.4,0.05,3.5,240.0,4500.0,0.0,0.7,3.6,239.99849305668664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.35,0.45,3.0,360.0,3000.0,0.5,0.4,6.0,360.49999999705824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.2,0.05,0.5,120.0,3500.0,0.0,0.8,2.4000000000000004,38.81994233066205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.05,0.2,4.5,180.0,4000.0,1.0,0.7,4.800000000000001,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.35,0.35,1.5,480.0,5000.0,0.7,0.0,6.0,318.2254334352084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.4,0.35,5.0,600.0,0.0,0.7,0.0,3.0,265.15180513527343,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.05,0.2,3.0,600.0,5000.0,0.1,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.5,0.4,1.5,180.0,3000.0,0.0,0.8,0.6000000000000001,24.06109667233884,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.5,0.15,5.0,180.0,4500.0,1.0,0.6,3.6,180.9999999993679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.1,0.05,2.0,600.0,0.0,0.2,0.6,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.1,0.5,2.0,240.0,4500.0,0.5,0.6,0.6000000000000001,34.623269806950844,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.35,0.4,0.0,300.0,4500.0,0.8,0.8,3.0,73.51499592861067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.45,0.15,3.0,300.0,5000.0,0.0,0.4,1.7999999999999998,115.99847465881322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.5,0.3,1.5,300.0,4000.0,0.7,0.6,1.2000000000000002,63.72970877284219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.5,0.15,2.5,600.0,2500.0,0.1,1.0,3.0,174.41825628534315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.3,0.1,4.5,0.0,5000.0,0.0,0.4,3.6,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.5,0.3,2.5,60.0,2000.0,0.0,0.0,1.2000000000000002,59.9957692766664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.2,0.0,1.5,360.0,1000.0,0.0,0.6,0.6000000000000001,23.57328995649058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.15,0.3,2.5,300.0,4500.0,0.6,0.4,3.6,236.99219102217813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.25,0.05,2.0,0.0,4500.0,0.0,0.9,1.7999999999999998,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.3,0.45,1.0,0.0,4500.0,0.6,0.5,2.4000000000000004,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.0,0.1,2.5,300.0,2000.0,0.0,0.5,2.4000000000000004,137.60048071244742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.45,0.4,4.0,60.0,0.0,0.2,0.1,0.6000000000000001,45.74845809497002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.35,0.2,5.0,0.0,5000.0,0.9,0.5,2.4000000000000004,0.8999999999577287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.45,0.0,3.5,60.0,2000.0,0.0,0.2,4.199999999999999,60.00000000130564,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.05,0.15,4.0,120.0,1500.0,0.2,1.0,0.6000000000000001,46.43000457355596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.05,0.3,0.0,540.0,3000.0,0.1,0.2,6.0,21.21228193727268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.5,0.05,2.0,480.0,3000.0,0.8,0.3,3.0,183.7019371916129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.2,0.25,5.0,540.0,4000.0,0.5,0.1,1.2000000000000002,105.34585041278709,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.4,0.35,1.5,60.0,5000.0,1.0,0.1,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.45,0.2,2.0,240.0,1500.0,0.1,0.6,6.0,240.10000000006323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.45,0.3,2.5,360.0,4000.0,0.9,0.0,1.7999999999999998,124.84182623718344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.0,0.05,1.5,300.0,2500.0,0.6,0.5,4.199999999999999,214.6231383727745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.2,0.45,0.5,480.0,500.0,0.4,0.8,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.45,0.4,1.5,120.0,2000.0,0.5,0.7,5.4,120.49999999871008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.5,0.5,0.5,420.0,0.0,0.6,0.1,4.800000000000001,149.79655621986385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.2,0.45,4.0,120.0,1500.0,0.0,0.3,3.0,120.00000000090203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.1,0.35,1.0,600.0,1000.0,1.0,0.3,4.199999999999999,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.3,0.15,4.0,60.0,5000.0,0.3,0.9,2.4000000000000004,60.30000000002765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.45,0.3,1.0,540.0,4500.0,1.0,1.0,3.6,179.09234871802263,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.0,0.35,3.5,480.0,2000.0,1.0,0.0,6.0,478.9181671328951,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.1,0.5,2.0,540.0,4000.0,0.2,0.6,3.0,158.87017223430215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.35,0.4,3.0,600.0,2000.0,0.2,0.6,5.4,358.2083798023414,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.2,0.4,0.5,540.0,3500.0,0.7,0.8,3.6,122.58305112120672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.15,0.15,2.0,120.0,5000.0,0.3,0.7,6.0,120.30000000019145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.2,0.05,4.5,540.0,2000.0,0.2,0.8,5.4,440.8029520951412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.45,0.35,4.5,180.0,1500.0,0.1,1.0,6.0,180.10000000004325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.2,0.5,2.5,60.0,4500.0,0.5,0.5,3.0,60.50000000024729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.4,0.25,1.5,480.0,1500.0,0.2,0.7,1.7999999999999998,79.24729473363736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.0,0.3,0.0,120.0,1000.0,1.0,0.9,2.4000000000000004,69.5349574623936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.3,3.0,480.0,5000.0,0.0,0.5,1.7999999999999998,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.35,0.3,2.0,60.0,500.0,0.0,0.4,5.4,60.00000000000004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.2,0.15,3.0,0.0,500.0,0.3,0.3,3.0,0.2999999999938247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.4,0.15,1.5,600.0,5000.0,0.6,0.0,4.199999999999999,215.9086561137084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.35,0.35,5.0,240.0,500.0,0.7,0.4,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.5,0.2,4.5,300.0,4500.0,0.4,0.8,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.25,0.45,3.5,360.0,4000.0,0.4,0.3,1.7999999999999998,134.4501405517778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.35,0.5,5.0,360.0,500.0,0.9,1.0,2.4000000000000004,216.50019928046345,1,20.639296,83.40422,40.640736,46.778954,49.191315,33.548267,10.398427,41.485477,119.36152,21.468985,61.17524,24.50907,44.842983,89.16422,42.01761,64.572586,89.948586,43.12965,42.27407,70.44664,18.58068,75.90352,59.475903,31.565796,38.288788,50.512505,26.270542
2100.0,0.4,0.35,4.5,600.0,0.0,0.9,1.0,3.0,256.5010687854634,1,19.829632,84.03054,36.672077,46.46312,50.593803,32.696938,10.462618,41.19509,118.56757,21.40583,61.059704,27.545652,44.881626,83.10336,41.031845,63.432964,85.59384,44.087406,41.60436,69.48726,18.147535,81.39473,58.727726,30.580784,39.39076,50.07948,25.856586
2400.0,0.35,0.45,5.0,540.0,4000.0,0.7,0.9,0.6000000000000001,53.858662081349934,1,20.593813,90.40985,45.03461,46.267628,43.393887,35.212727,11.171822,38.973675,116.51925,22.692661,61.528526,23.480373,50.756294,83.712204,42.61059,62.87888,89.681816,41.866455,39.19322,69.18147,19.656563,67.0648,60.48206,27.057592,40.258026,49.98716,25.70717
3000.0,0.45,0.45,2.5,540.0,5000.0,1.0,0.8,1.7999999999999998,127.20408863095396,1,19.53851,99.34716,41.71378,45.949856,42.056263,36.854923,12.599045,38.54852,112.365005,21.417948,71.6186,21.944195,64.44433,86.395935,42.287403,56.91551,83.760315,45.127106,47.492237,75.04758,20.458172,66.369484,60.558014,26.752306,44.791058,51.374126,26.128777
1800.0,0.35,0.35,4.5,600.0,4000.0,0.8,0.9,4.199999999999999,364.03514773937326,1,20.1651,92.3262,45.51527,46.954727,47.371162,34.673992,11.767607,40.524788,114.97561,22.546043,69.32595,24.060724,56.157722,82.79209,43.53929,56.466526,90.25285,43.55434,38.430435,71.42025,19.182617,64.397285,61.853237,28.047514,38.11014,50.57646,25.730963
1200.0,0.5,0.4,3.0,540.0,3500.0,1.0,1.0,4.199999999999999,316.58811136921986,1,19.915754,88.907455,41.711723,47.335587,46.778927,34.078648,11.945111,40.190968,115.68511,21.10276,70.089806,24.65581,57.818283,89.93237,42.46749,53.848827,89.01183,48.41525,42.359016,71.48775,20.344315,66.662964,65.65872,27.481283,39.987846,51.114944,26.019863
3000.0,0.0,0.4,3.0,600.0,3500.0,0.9,0.9,3.6,269.11995509803114,1,17.274471,93.637344,44.963978,48.15555,48.39777,32.499237,10.940329,38.52242,112.38509,22.023197,65.03292,17.401453,52.78356,68.12347,35.888676,60.004093,74.25139,38.625175,37.30665,64.531,15.267691,68.69629,53.7406,28.469072,38.795536,47.508682,24.717125
1800.0,0.25,0.4,4.5,600.0,1500.0,0.8,0.9,6.0,514.500325701647,1,19.1084,88.66529,41.482067,48.246452,53.206665,33.065674,10.973529,40.840565,112.88751,21.60034,66.70832,21.664293,50.26218,80.46558,40.901657,57.306034,80.75026,41.679947,38.637512,68.36563,16.469402,72.352234,57.92121,30.194078,34.476845,49.129272,25.09892
