NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
2400.0,0.2,0.5,2.0,420.0,3500.0,0.4,0.5,3.0,168.56493723901946,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.3,0.35,1.5,360.0,1000.0,0.7,0.7,4.199999999999999,207.7237274108185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.25,0.05,2.5,300.0,2500.0,0.0,0.4,3.0,172.5919111313806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.35,0.25,1.5,360.0,5000.0,0.3,0.2,4.800000000000001,221.37258131169875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.2,0.15,0.0,600.0,5000.0,0.9,0.2,1.2000000000000002,32.54445355249764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.05,0.2,3.5,480.0,4000.0,0.8,0.0,4.199999999999999,326.91732922097617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.45,0.15,0.0,420.0,4500.0,0.1,0.3,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.5,0.05,2.5,60.0,1000.0,0.3,0.8,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.3,0.1,3.5,120.0,0.0,0.8,0.2,1.7999999999999998,96.27771090047317,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.2,0.2,1.0,60.0,3000.0,0.4,0.6,1.7999999999999998,60.39986416725757,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.0,0.25,5.0,0.0,1000.0,0.5,0.7,3.0,0.5000000000000007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.05,0.15,2.0,180.0,500.0,0.1,0.7,3.0,153.04162889403725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.45,0.35,2.5,480.0,1500.0,0.1,0.4,6.0,350.67811138766814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.05,0.1,2.5,120.0,3500.0,0.5,0.7,3.6,120.50000000017616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.15,0.05,0.5,240.0,3500.0,0.4,0.7,6.0,161.5475147224483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.3,0.2,0.5,60.0,1000.0,0.4,0.5,3.6,60.39999999999192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.1,0.15,4.0,540.0,1500.0,0.1,0.2,4.199999999999999,315.1850421695131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.35,0.15,1.0,60.0,0.0,0.5,1.0,3.6,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.0,0.5,0.0,60.0,500.0,0.4,0.4,4.800000000000001,60.01274003008351,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.1,0.2,0.0,300.0,3000.0,0.8,0.6,4.199999999999999,102.7252372469964,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.0,0.3,1.0,540.0,3500.0,0.5,0.5,6.0,240.8227694856433,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.05,0.1,4.0,60.0,3500.0,0.8,0.8,1.7999999999999998,60.800000000253306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.35,0.05,2.5,600.0,3500.0,0.5,0.3,4.199999999999999,270.41008812147146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.15,0.1,0.5,60.0,3500.0,0.6,0.5,3.6,60.59999999970509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.3,0.45,2.5,420.0,3500.0,0.2,0.9,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.2,0.45,2.5,0.0,2000.0,0.1,0.5,3.6,0.0999999546991244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.25,0.45,1.0,600.0,0.0,1.0,0.8,6.0,292.7426119466891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
