NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #
0.0,0.0,0.15,0.5,360.0,3000.0,0.4,0.9,3.0,0.0,0
600.0,0.5,0.15,0.5,60.0,500.0,0.9,0.3,4.800000000000001,60.89999999436906,0
900.0,0.05,0.0,0.5,600.0,2000.0,0.1,0.6,3.5999999999999996,67.95028822150547,0
0.0,0.25,0.5,5.0,600.0,3500.0,0.6,0.0,3.0,0.0,0
1200.0,0.2,0.3,2.5,180.0,5000.0,0.7,0.3,2.4000000000000004,160.54252645594437,0
2400.0,0.25,0.5,2.0,0.0,500.0,0.7,0.8,0.0,0.0,0
2700.0,0.05,0.2,5.0,0.0,1500.0,0.7,0.2,3.0,0.6999999999999998,0
1500.0,0.2,0.25,2.5,120.0,3000.0,0.2,0.6,0.0,0.0,0
900.0,0.1,0.4,1.5,420.0,2000.0,0.8,0.0,3.0,161.93686290846196,0
900.0,0.0,0.45,5.0,180.0,5000.0,0.3,0.9,2.4000000000000004,180.29998199037445,0
2400.0,0.3,0.5,5.0,480.0,0.0,0.6,0.0,6.0,480.5999996932547,0
600.0,0.0,0.15,4.5,180.0,5000.0,0.9,0.6,0.6000000000000001,52.33820635167781,0
1800.0,0.5,0.4,1.5,420.0,0.0,0.4,0.2,3.0,140.25755679650428,0
1800.0,0.5,0.45,1.0,0.0,1000.0,0.4,0.5,2.4000000000000004,0.40000000000195174,0
2100.0,0.2,0.2,4.0,0.0,2000.0,1.0,0.7,1.2000000000000002,1.0000000000008493,0
0.0,0.0,0.15,2.0,60.0,2500.0,0.3,0.9,5.4,0.0,0
1500.0,0.3,0.25,1.0,120.0,3000.0,0.1,0.5,2.4000000000000004,76.17508853209814,0
1200.0,0.35,0.5,0.0,540.0,1500.0,0.6,0.7,3.0,56.71247431511028,0
300.0,0.1,0.4,0.0,180.0,1000.0,0.5,0.7,2.4000000000000004,37.40085814940163,0
1800.0,0.5,0.25,3.0,540.0,2000.0,0.0,0.6,4.199999999999999,268.8401718420838,0
0.0,0.45,0.1,3.5,540.0,1500.0,1.0,0.3,2.4000000000000004,0.0,0
2400.0,0.1,0.5,1.5,240.0,1000.0,0.4,0.8,4.800000000000001,228.52355116939393,0
600.0,0.45,0.1,0.0,480.0,0.0,0.0,0.6,1.2000000000000002,0.0,0
3000.0,0.25,0.3,2.5,0.0,2500.0,0.0,0.5,4.800000000000001,0.0,0
2400.0,0.1,0.15,0.0,420.0,500.0,0.7,0.4,0.6000000000000001,13.007055403120205,0
2700.0,0.4,0.2,0.0,0.0,1500.0,0.8,0.4,3.0,0.7999999999999993,0
0.0,0.05,0.15,3.0,600.0,5000.0,1.0,0.1,1.7999999999999998,0.0,0
1500.0,0.5,0.25,3.5,600.0,1500.0,0.8,0.5,2.4000000000000004,186.41842161403542,0
3000.0,0.45,0.05,1.0,360.0,1000.0,0.9,1.0,3.5999999999999996,171.74366472854064,0
2100.0,0.15,0.25,2.0,120.0,2000.0,0.1,0.7,3.5999999999999996,120.09999999983594,0
1800.0,0.5,0.05,3.5,180.0,2500.0,0.3,0.2,1.2000000000000002,87.9741147845355,0
0.0,0.1,0.1,3.5,0.0,2500.0,0.4,0.1,4.199999999999999,0.0,0
1500.0,0.3,0.3,3.0,180.0,0.0,0.0,0.4,3.5999999999999996,179.99999999980705,0
1200.0,0.4,0.45,2.0,180.0,5000.0,0.3,0.2,1.7999999999999998,98.342471681353,0
2700.0,0.25,0.45,4.5,480.0,1000.0,0.4,0.1,0.6000000000000001,49.996812156800466,0
1200.0,0.35,0.2,0.0,120.0,2000.0,0.5,1.0,3.5999999999999996,57.944274359461225,0
300.0,0.5,0.2,0.5,420.0,3000.0,0.6,0.2,1.2000000000000002,37.82312343224081,0
2100.0,0.3,0.5,1.5,600.0,4500.0,0.2,0.0,4.199999999999999,186.50539320372982,0
1200.0,0.5,0.3,3.0,0.0,2500.0,0.3,1.0,4.800000000000001,0.3,0
2400.0,0.0,0.05,4.0,600.0,2000.0,0.6,1.0,1.2000000000000002,97.04171488662787,0
0.0,0.25,0.45,0.0,540.0,4000.0,0.7,0.8,3.0,0.0,0
2700.0,0.3,0.05,0.0,60.0,3500.0,0.0,0.7,2.4000000000000004,0.0,0
900.0,0.45,0.15,1.5,600.0,1000.0,0.7,0.5,0.6000000000000001,31.124508384997252,0
3000.0,0.1,0.05,1.0,60.0,3000.0,0.3,0.9,4.199999999999999,60.299999999841766,0
