NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Modelled Final Protein,Round #
2100.0,3.0,540.0,5000.0,4.199999999999999,270.55598222599275,0
300.0,1.0,540.0,3000.0,4.800000000000001,139.62135447111814,0
300.0,3.5,360.0,1000.0,6.0,311.5867245529848,0
900.0,2.0,180.0,4000.0,5.4,180.0000000002366,0
2100.0,0.5,600.0,5000.0,4.800000000000001,77.97383214210096,0
1500.0,4.5,300.0,3000.0,4.800000000000001,299.9999999961569,0
300.0,2.5,540.0,5000.0,5.4,308.86177048065747,0
2100.0,4.0,480.0,1000.0,4.199999999999999,313.83631462646287,0
1800.0,0.5,300.0,1000.0,6.0,96.13514804835256,0
1500.0,5.0,240.0,5000.0,2.4000000000000004,202.47261939604195,0
1200.0,4.5,120.0,500.0,1.2000000000000002,93.60875469979814,0
600.0,4.5,540.0,2500.0,4.199999999999999,332.4584905100185,0
300.0,0.5,240.0,2000.0,3.0,47.79823923732773,0
600.0,2.5,480.0,3500.0,2.4000000000000004,137.25736844588994,0
1500.0,3.5,540.0,1000.0,1.2000000000000002,83.23823764610779,0
900.0,1.0,420.0,4500.0,4.199999999999999,123.33397780560622,0
900.0,3.5,240.0,500.0,4.800000000000001,240.0000000000045,0
2100.0,4.5,540.0,5000.0,4.800000000000001,385.221098883753,0
900.0,0.5,300.0,1500.0,3.6,57.52990338990415,0
1200.0,3.5,600.0,500.0,5.4,354.563498161435,1
1200.0,1.5,600.0,500.0,5.4,210.7917576858479,1
1500.0,3.5,600.0,500.0,1.7999999999999998,123.87623646544893,1
1800.0,0.5,600.0,500.0,3.0,47.96109631590448,1
900.0,3.5,600.0,500.0,0.6000000000000001,40.723176696526615,1
1800.0,0.5,600.0,500.0,6.0,95.6557658539406,1
900.0,1.5,600.0,500.0,4.199999999999999,162.16265582155432,1
2100.0,5.0,600.0,500.0,1.7999999999999998,149.8258675921645,1
2100.0,0.5,600.0,500.0,5.4,86.43968120637004,1
1500.0,1.5,540.0,500.0,2.4000000000000004,94.99475717987062,1
1500.0,2.0,540.0,500.0,4.199999999999999,203.4972440301746,1
300.0,5.0,600.0,500.0,2.4000000000000004,148.46048407942365,1
2700.0,0.5,600.0,500.0,1.7999999999999998,29.034015455041423,1
1200.0,4.0,480.0,500.0,3.6,261.8798576667967,1
2100.0,2.5,540.0,500.0,4.199999999999999,238.05961798018024,1
1500.0,2.5,480.0,500.0,5.4,301.8769271719828,1
3000.0,4.0,600.0,500.0,5.4,404.3369605569004,1
900.0,4.0,480.0,500.0,4.199999999999999,283.95011527289074,1
1800.0,4.5,480.0,500.0,2.4000000000000004,189.07639802159807,1
1200.0,2.5,600.0,1000.0,4.199999999999999,236.5429029669081,1
2700.0,4.0,540.0,500.0,4.800000000000001,358.80846927953013,1
1200.0,0.5,600.0,1000.0,3.0,47.87787045507552,1
2700.0,1.5,540.0,500.0,3.6,144.23745822789314,1
2100.0,3.5,480.0,500.0,1.7999999999999998,124.94374423493836,1
1200.0,3.5,420.0,500.0,3.0,204.07359933917687,1
1500.0,4.5,420.0,500.0,5.4,415.4792799475736,1
