NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Predicted Final Protein
3000.0,3.0,60.0,5000.0,2.4000000000000004,80.75052
3000.0,2.0,120.0,5000.0,4.800000000000001,79.473625
3000.0,0.5,60.0,4500.0,4.199999999999999,78.26893
3000.0,1.0,180.0,5000.0,1.7999999999999998,78.185616
3000.0,5.0,180.0,5000.0,4.199999999999999,78.172585
3000.0,2.5,180.0,5000.0,6.0,78.169205
3000.0,2.0,120.0,4500.0,0.6000000000000001,77.19991
3000.0,0.5,180.0,4500.0,0.6000000000000001,76.10367
2700.0,2.0,60.0,5000.0,3.5999999999999996,74.45934
3000.0,5.0,360.0,5000.0,6.0,74.43465
3000.0,3.5,360.0,5000.0,1.2000000000000002,74.43435
3000.0,5.0,360.0,5000.0,4.199999999999999,74.40622
3000.0,4.0,120.0,4000.0,0.6000000000000001,74.13563
3000.0,4.5,120.0,4000.0,1.7999999999999998,74.12196
3000.0,4.0,540.0,5000.0,4.199999999999999,74.065636
3000.0,4.5,300.0,4500.0,1.7999999999999998,73.8931
3000.0,2.5,300.0,4500.0,3.5999999999999996,73.88949
3000.0,2.0,300.0,4500.0,3.0,73.8811
3000.0,2.0,300.0,4500.0,4.199999999999999,73.87238
3000.0,0.5,480.0,5000.0,3.0,73.72401
3000.0,0.5,480.0,5000.0,1.7999999999999998,73.6997
3000.0,4.5,420.0,5000.0,2.4000000000000004,73.58383
2700.0,0.5,120.0,5000.0,5.4,73.19602
2700.0,5.0,120.0,5000.0,2.4000000000000004,73.15802
3000.0,3.0,180.0,4000.0,4.199999999999999,72.92049
3000.0,4.0,360.0,4500.0,1.2000000000000002,72.65204
3000.0,2.0,360.0,4500.0,6.0,72.62005
2700.0,3.0,60.0,4500.0,6.0,72.56015
2700.0,1.5,180.0,5000.0,3.5999999999999996,71.88818
2700.0,0.5,180.0,5000.0,2.4000000000000004,71.87974
2700.0,2.5,600.0,5000.0,3.0,71.60396
2700.0,1.5,240.0,5000.0,3.5999999999999996,71.298584
2700.0,1.0,120.0,4500.0,1.2000000000000002,71.29177
2700.0,4.5,120.0,4500.0,3.5999999999999996,71.27439
2700.0,0.5,120.0,4500.0,6.0,71.26482
3000.0,4.5,480.0,4500.0,1.7999999999999998,71.157196
3000.0,0.5,480.0,4500.0,0.6000000000000001,71.09896
2700.0,0.5,300.0,5000.0,0.6000000000000001,70.75505
2700.0,4.5,420.0,5000.0,1.2000000000000002,70.60615
3000.0,1.0,300.0,4000.0,1.2000000000000002,70.572296
2400.0,4.5,60.0,5000.0,5.4,70.00712
2700.0,1.0,180.0,4500.0,1.2000000000000002,69.95287
2400.0,4.5,600.0,5000.0,6.0,69.56088
2400.0,2.5,540.0,5000.0,3.5999999999999996,69.31939
2400.0,0.5,480.0,5000.0,2.4000000000000004,69.133286
2400.0,3.0,480.0,5000.0,2.4000000000000004,69.12234
2400.0,2.0,480.0,5000.0,1.7999999999999998,69.108635
2400.0,0.5,420.0,5000.0,4.199999999999999,68.99315
2400.0,0.5,180.0,5000.0,3.5999999999999996,68.929375
3000.0,4.0,60.0,3500.0,4.199999999999999,68.58437
2400.0,4.0,240.0,5000.0,0.6000000000000001,68.470436
3000.0,1.0,420.0,4000.0,6.0,68.12746
3000.0,4.5,120.0,3500.0,3.0,67.941414
3000.0,3.5,120.0,3500.0,6.0,67.93804
3000.0,0.5,120.0,3500.0,0.6000000000000001,67.90079
3000.0,5.0,480.0,4000.0,3.0,67.65192
3000.0,2.5,480.0,4000.0,4.199999999999999,67.64433
2100.0,1.0,60.0,5000.0,5.4,67.485054
3000.0,1.0,180.0,3500.0,3.0,67.31258
3000.0,2.0,180.0,3500.0,6.0,67.29928
3000.0,4.5,180.0,3500.0,1.2000000000000002,67.297775
2100.0,2.0,600.0,5000.0,4.800000000000001,67.09349
3000.0,3.0,540.0,4000.0,6.0,67.074326
2700.0,1.0,540.0,4500.0,1.2000000000000002,67.062294
2700.0,2.5,540.0,4500.0,3.0,67.01806
2700.0,4.0,60.0,3500.0,3.0,66.87156
2700.0,4.0,60.0,3500.0,0.6000000000000001,66.859245
3000.0,4.0,240.0,3500.0,4.199999999999999,66.630035
2700.0,1.5,480.0,4500.0,1.7999999999999998,66.62514
2700.0,2.0,480.0,4500.0,3.0,66.615944
3000.0,1.5,240.0,3500.0,4.800000000000001,66.58848
2100.0,5.0,480.0,5000.0,6.0,66.499756
2100.0,2.0,480.0,5000.0,2.4000000000000004,66.4795
