NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Predicted Final Protein
1800.0,1.5,60.0,5000.0,4.800000000000001,148.86069
2100.0,2.5,60.0,5000.0,6.0,148.5672
2100.0,2.5,60.0,5000.0,2.4000000000000004,148.46344
600.0,1.5,60.0,5000.0,4.800000000000001,147.9294
600.0,2.5,60.0,5000.0,3.5999999999999996,147.92882
2400.0,2.0,60.0,5000.0,4.199999999999999,147.4126
2400.0,5.0,60.0,5000.0,4.800000000000001,147.36325
2700.0,3.5,60.0,5000.0,4.800000000000001,147.33075
900.0,1.5,60.0,5000.0,0.6000000000000001,147.23135
600.0,2.0,120.0,5000.0,3.5999999999999996,147.19864
600.0,1.0,120.0,5000.0,1.7999999999999998,147.1648
1500.0,5.0,60.0,5000.0,1.2000000000000002,147.13626
1800.0,2.0,120.0,5000.0,3.5999999999999996,146.9422
1800.0,5.0,120.0,5000.0,1.7999999999999998,146.80894
1500.0,3.0,120.0,5000.0,4.199999999999999,146.62637
1500.0,2.5,120.0,5000.0,0.6000000000000001,146.5202
900.0,4.0,120.0,5000.0,3.0,146.5045
900.0,5.0,120.0,5000.0,0.6000000000000001,146.40497
1200.0,3.0,60.0,5000.0,0.6000000000000001,146.20349
300.0,0.5,180.0,5000.0,1.7999999999999998,146.12335
3000.0,1.5,120.0,5000.0,3.0,145.26468
1500.0,4.5,240.0,5000.0,1.2000000000000002,145.19876
1800.0,0.5,180.0,5000.0,4.800000000000001,145.12605
600.0,2.0,240.0,5000.0,5.4,145.0518
1800.0,3.0,180.0,5000.0,4.800000000000001,145.02348
1200.0,3.5,180.0,5000.0,1.7999999999999998,144.99118
1200.0,4.5,180.0,5000.0,3.0,144.98972
300.0,2.0,240.0,5000.0,2.4000000000000004,144.69325
2100.0,3.5,180.0,5000.0,6.0,144.6687
300.0,5.0,240.0,5000.0,2.4000000000000004,144.65225
1200.0,1.0,240.0,5000.0,6.0,144.44073
1200.0,2.5,240.0,5000.0,4.199999999999999,144.42502
1200.0,3.0,240.0,5000.0,2.4000000000000004,144.37111
1200.0,2.5,300.0,5000.0,6.0,143.8718
1500.0,3.5,300.0,5000.0,0.6000000000000001,143.76228
3000.0,1.0,180.0,5000.0,3.5999999999999996,142.69865
1200.0,3.0,360.0,5000.0,4.800000000000001,142.5724
2400.0,4.0,180.0,5000.0,0.6000000000000001,142.50354
2700.0,0.5,180.0,5000.0,3.5999999999999996,142.4126
2700.0,0.5,180.0,5000.0,0.6000000000000001,142.32378
2700.0,4.0,180.0,5000.0,2.4000000000000004,142.3019
300.0,0.5,420.0,5000.0,3.0,142.18918
300.0,5.0,420.0,5000.0,3.5999999999999996,142.09978
300.0,3.0,420.0,5000.0,0.6000000000000001,142.08876
300.0,1.0,480.0,5000.0,3.5999999999999996,141.46696
1200.0,1.0,420.0,5000.0,1.2000000000000002,140.9783
900.0,0.5,420.0,5000.0,6.0,140.94324
900.0,3.0,420.0,5000.0,3.0,140.80826
900.0,3.0,420.0,5000.0,1.7999999999999998,140.76424
900.0,5.0,420.0,5000.0,0.6000000000000001,140.69504
600.0,0.5,420.0,5000.0,2.4000000000000004,140.60905
600.0,2.0,420.0,5000.0,2.4000000000000004,140.60347
1800.0,2.0,300.0,5000.0,4.800000000000001,140.39697
1800.0,5.0,300.0,5000.0,3.5999999999999996,140.32239
1800.0,4.5,300.0,5000.0,2.4000000000000004,140.27614
900.0,0.5,480.0,5000.0,5.4,139.7312
2100.0,0.5,300.0,5000.0,4.199999999999999,139.5738
2100.0,2.5,300.0,5000.0,3.0,139.4432
1500.0,1.0,420.0,5000.0,3.5999999999999996,139.20169
600.0,1.5,540.0,5000.0,2.4000000000000004,138.80083
600.0,4.5,540.0,5000.0,0.6000000000000001,138.72992
1800.0,0.5,360.0,5000.0,6.0,138.39265
1800.0,3.0,360.0,5000.0,5.4,138.33426
1800.0,5.0,360.0,5000.0,5.4,138.29813
600.0,3.5,600.0,5000.0,1.7999999999999998,138.17451
600.0,2.5,600.0,5000.0,0.6000000000000001,138.13704
2400.0,2.0,300.0,5000.0,0.6000000000000001,138.02121
2400.0,3.5,300.0,5000.0,0.6000000000000001,138.01886
3000.0,0.5,300.0,5000.0,2.4000000000000004,137.63739
3000.0,1.5,300.0,5000.0,1.7999999999999998,137.60423
2700.0,1.5,300.0,5000.0,4.800000000000001,137.58989
900.0,3.5,600.0,5000.0,1.2000000000000002,137.57994
1200.0,2.5,600.0,5000.0,5.4,136.94905
1200.0,0.5,600.0,5000.0,3.5999999999999996,136.89633
2100.0,0.5,360.0,5000.0,4.800000000000001,136.7455
2100.0,1.5,360.0,5000.0,3.0,136.68175
3000.0,3.0,360.0,5000.0,2.4000000000000004,135.47546
2700.0,1.0,360.0,5000.0,4.800000000000001,135.2381
2700.0,1.0,360.0,5000.0,6.0,135.18362
2700.0,1.0,360.0,5000.0,1.2000000000000002,135.07253
1800.0,1.5,60.0,4500.0,3.0,133.74176
1500.0,4.5,540.0,5000.0,0.6000000000000001,133.65187
3000.0,2.0,420.0,5000.0,4.199999999999999,133.56688
2700.0,2.5,60.0,4500.0,4.199999999999999,133.1075
600.0,3.0,60.0,4500.0,4.800000000000001,133.02853
2700.0,3.0,60.0,4500.0,2.4000000000000004,132.98947
600.0,3.0,60.0,4500.0,0.6000000000000001,132.9818
300.0,0.5,120.0,4500.0,2.4000000000000004,132.75468
1500.0,3.5,60.0,4500.0,2.4000000000000004,132.74586
1500.0,3.0,60.0,4500.0,2.4000000000000004,132.72572
300.0,2.5,120.0,4500.0,4.800000000000001,132.72057
2100.0,1.5,60.0,4500.0,3.5999999999999996,132.71568
2100.0,0.5,60.0,4500.0,0.6000000000000001,132.70702
2400.0,2.0,420.0,5000.0,3.5999999999999996,132.5925
2400.0,4.5,420.0,5000.0,1.2000000000000002,132.51465
2400.0,1.5,60.0,4500.0,1.2000000000000002,132.18884
600.0,4.5,120.0,4500.0,0.6000000000000001,132.12468
2700.0,5.0,420.0,5000.0,4.800000000000001,132.0852
2700.0,2.0,420.0,5000.0,1.2000000000000002,132.07338
1500.0,2.5,120.0,4500.0,0.6000000000000001,132.01817
