NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Predicted Final Protein
300.0,2.0,120.0,5000.0,1.2000000000000002,83.478096
300.0,3.0,120.0,5000.0,3.5999999999999996,83.46747
300.0,0.5,120.0,5000.0,3.5999999999999996,83.446175
300.0,0.5,120.0,5000.0,1.2000000000000002,83.43197
300.0,2.0,300.0,5000.0,4.800000000000001,80.62257
300.0,5.0,300.0,5000.0,2.4000000000000004,80.60954
300.0,1.0,360.0,5000.0,4.800000000000001,79.76276
300.0,4.0,420.0,5000.0,6.0,78.82273
3000.0,4.0,60.0,1000.0,2.4000000000000004,78.267494
3000.0,3.0,540.0,1000.0,5.4,77.91084
3000.0,4.0,480.0,1000.0,6.0,77.85255
300.0,5.0,480.0,5000.0,3.5999999999999996,77.75236
300.0,2.5,480.0,5000.0,3.0,77.75236
3000.0,3.0,360.0,1000.0,2.4000000000000004,77.221535
3000.0,3.5,240.0,1000.0,1.2000000000000002,77.06445
3000.0,3.5,240.0,1000.0,3.0,76.987114
3000.0,4.0,240.0,1000.0,3.0,76.98531
3000.0,2.0,240.0,1000.0,1.2000000000000002,76.97566
300.0,1.0,540.0,5000.0,4.199999999999999,76.84899
3000.0,3.0,300.0,1000.0,6.0,76.81132
3000.0,5.0,180.0,500.0,6.0,76.55499
3000.0,5.0,240.0,500.0,1.2000000000000002,76.482864
3000.0,2.0,300.0,500.0,4.199999999999999,76.42225
3000.0,2.0,120.0,500.0,1.7999999999999998,76.12124
3000.0,4.0,480.0,500.0,3.0,76.10483
3000.0,2.5,120.0,500.0,6.0,76.01905
300.0,0.5,600.0,5000.0,3.0,75.96259
300.0,2.5,600.0,5000.0,3.0,75.931694
300.0,1.0,600.0,5000.0,2.4000000000000004,75.92736
3000.0,2.5,540.0,500.0,6.0,75.179184
3000.0,3.5,600.0,500.0,3.0,74.595825
3000.0,3.0,600.0,500.0,0.6000000000000001,74.59111
600.0,1.5,240.0,5000.0,1.2000000000000002,71.383095
300.0,4.5,300.0,4500.0,5.4,71.24113
300.0,3.0,300.0,4500.0,1.7999999999999998,71.223274
600.0,3.5,300.0,5000.0,3.5999999999999996,70.985146
3000.0,0.5,180.0,1500.0,2.4000000000000004,70.95405
3000.0,5.0,120.0,1500.0,4.800000000000001,70.62881
300.0,1.0,360.0,4500.0,0.6000000000000001,70.29531
600.0,5.0,420.0,5000.0,4.800000000000001,69.76866
2700.0,4.0,300.0,500.0,4.800000000000001,69.511505
2700.0,1.0,180.0,500.0,5.4,69.44148
2700.0,0.5,240.0,500.0,3.0,69.34299
2700.0,3.0,60.0,1000.0,4.800000000000001,69.248726
2700.0,0.5,60.0,1000.0,1.7999999999999998,69.2281
2700.0,5.0,420.0,1000.0,2.4000000000000004,69.104935
2700.0,5.0,120.0,1000.0,4.199999999999999,69.05964
2700.0,1.5,480.0,1000.0,0.6000000000000001,69.01608
2700.0,2.5,480.0,1000.0,5.4,68.93051
2700.0,0.5,480.0,1000.0,5.4,68.85787
2700.0,0.5,540.0,1000.0,5.4,68.81753
3000.0,4.0,360.0,1500.0,5.4,68.803085
600.0,1.5,480.0,5000.0,4.800000000000001,68.762856
2700.0,2.5,360.0,1000.0,1.2000000000000002,68.658745
2700.0,3.5,480.0,500.0,0.6000000000000001,68.65728
2700.0,2.5,480.0,500.0,0.6000000000000001,68.619286
2700.0,1.5,480.0,500.0,1.2000000000000002,68.53585
2700.0,3.0,600.0,1000.0,1.7999999999999998,68.518394
2700.0,4.0,180.0,1000.0,4.199999999999999,68.496216
2700.0,1.0,600.0,1000.0,4.199999999999999,68.468956
2700.0,0.5,600.0,1000.0,6.0,68.40851
2700.0,1.0,180.0,1000.0,1.2000000000000002,68.38408
300.0,5.0,480.0,4500.0,1.2000000000000002,68.358116
