NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Predicted Final Protein
3000.0,3.0,540.0,5000.0,4.199999999999999,105.03712
3000.0,2.0,480.0,5000.0,4.199999999999999,104.338066
3000.0,3.5,420.0,5000.0,6.0,103.42272
3000.0,3.5,420.0,5000.0,2.4000000000000004,103.30753
3000.0,0.5,360.0,5000.0,4.199999999999999,102.4291
3000.0,2.0,360.0,5000.0,0.6000000000000001,102.35336
2700.0,2.5,600.0,5000.0,1.7999999999999998,101.96462
3000.0,3.5,300.0,5000.0,6.0,101.905396
3000.0,3.5,300.0,5000.0,1.7999999999999998,101.83972
3000.0,2.0,300.0,5000.0,0.6000000000000001,101.76548
2700.0,3.0,540.0,5000.0,1.7999999999999998,101.26242
2700.0,2.5,480.0,5000.0,5.4,100.83214
2700.0,3.5,360.0,5000.0,3.0,99.59009
2700.0,5.0,300.0,5000.0,3.0,99.029465
3000.0,1.0,60.0,5000.0,1.2000000000000002,98.853645
3000.0,3.5,540.0,4500.0,1.7999999999999998,98.25643
3000.0,1.5,540.0,4500.0,1.7999999999999998,98.24225
2700.0,1.5,60.0,5000.0,3.0,97.84603
2400.0,2.5,600.0,5000.0,1.7999999999999998,97.82664
2400.0,1.0,600.0,5000.0,3.5999999999999996,97.81857
3000.0,1.5,480.0,4500.0,1.2000000000000002,96.9777
3000.0,0.5,540.0,500.0,6.0,96.3402
2700.0,2.0,600.0,4500.0,4.199999999999999,96.12049
2400.0,4.5,420.0,5000.0,1.7999999999999998,96.08853
3000.0,4.0,420.0,4500.0,4.800000000000001,96.08515
3000.0,4.0,480.0,500.0,4.800000000000001,96.02121
3000.0,1.5,480.0,500.0,2.4000000000000004,95.96501
3000.0,3.0,360.0,4500.0,3.5999999999999996,95.42578
3000.0,3.0,360.0,4500.0,2.4000000000000004,95.38031
2700.0,4.0,540.0,4500.0,4.800000000000001,95.344284
2700.0,4.5,540.0,4500.0,3.0,95.29686
2400.0,5.0,240.0,5000.0,4.800000000000001,94.63983
3000.0,5.0,300.0,4500.0,2.4000000000000004,94.58963
2100.0,5.0,600.0,5000.0,2.4000000000000004,94.52687
2100.0,4.5,600.0,5000.0,0.6000000000000001,94.50086
2700.0,3.0,480.0,4500.0,3.0,94.435936
2700.0,4.5,480.0,4500.0,1.2000000000000002,94.42418
3000.0,1.0,360.0,500.0,4.199999999999999,94.26292
3000.0,3.5,360.0,500.0,0.6000000000000001,94.1699
2400.0,1.5,180.0,5000.0,1.7999999999999998,93.96025
2400.0,1.5,180.0,5000.0,2.4000000000000004,93.94055
2700.0,2.5,420.0,4500.0,5.4,93.80278
3000.0,4.5,240.0,500.0,5.4,93.75113
3000.0,1.0,240.0,500.0,4.800000000000001,93.7276
3000.0,3.5,300.0,500.0,0.6000000000000001,93.71521
2400.0,5.0,120.0,5000.0,5.4,93.50922
3000.0,4.5,180.0,500.0,1.2000000000000002,93.48042
2400.0,2.5,120.0,5000.0,0.6000000000000001,93.32828
3000.0,4.5,120.0,500.0,3.5999999999999996,93.27732
2100.0,5.0,540.0,5000.0,3.0,93.23012
3000.0,4.5,60.0,500.0,4.199999999999999,93.2003
2100.0,3.5,540.0,5000.0,4.199999999999999,93.19945
2700.0,2.0,360.0,4500.0,1.2000000000000002,92.667404
2700.0,2.0,360.0,4500.0,0.6000000000000001,92.64983
2400.0,1.5,600.0,4500.0,4.199999999999999,92.18443
2400.0,0.5,600.0,4500.0,5.4,92.161446
2700.0,5.0,300.0,4500.0,3.5999999999999996,91.9935
2700.0,3.0,300.0,4500.0,6.0,91.982925
2700.0,3.5,300.0,4500.0,1.2000000000000002,91.90408
2700.0,3.0,240.0,4500.0,4.800000000000001,91.52243
2700.0,1.5,240.0,4500.0,5.4,91.480316
3000.0,4.0,540.0,4000.0,0.6000000000000001,90.9034
2400.0,4.0,480.0,4500.0,6.0,90.83322
2100.0,1.5,420.0,5000.0,5.4,90.6547
3000.0,4.0,120.0,4500.0,0.6000000000000001,90.51891
2700.0,1.5,120.0,4500.0,5.4,90.35205
2700.0,4.0,120.0,4500.0,1.2000000000000002,90.29254
2700.0,3.5,600.0,4000.0,3.0,90.24981
2700.0,1.0,600.0,4000.0,4.800000000000001,90.21573
3000.0,4.0,480.0,4000.0,0.6000000000000001,89.923355
3000.0,0.5,480.0,4000.0,1.7999999999999998,89.892235
2100.0,1.5,360.0,5000.0,4.199999999999999,89.886826
3000.0,3.0,60.0,4500.0,2.4000000000000004,89.21385
2100.0,5.0,300.0,5000.0,1.2000000000000002,89.19443
2100.0,2.5,300.0,5000.0,4.199999999999999,89.13812
2400.0,5.0,300.0,4500.0,1.2000000000000002,89.08666
2100.0,2.5,300.0,5000.0,1.2000000000000002,89.08278
3000.0,3.0,420.0,4000.0,5.4,88.9948
3000.0,1.5,420.0,4000.0,1.7999999999999998,88.85716
2400.0,4.5,240.0,4500.0,4.199999999999999,88.56113
2400.0,2.5,240.0,4500.0,5.4,88.52181
2400.0,0.5,240.0,4500.0,6.0,88.463264
1800.0,4.0,540.0,5000.0,1.2000000000000002,88.3681
2700.0,4.5,600.0,500.0,6.0,88.213066
2400.0,3.5,180.0,4500.0,1.2000000000000002,87.99141
300.0,3.0,540.0,5000.0,5.4,87.88609
300.0,2.0,540.0,5000.0,6.0,87.85349
2400.0,4.5,60.0,4500.0,4.800000000000001,87.79108
300.0,1.0,540.0,5000.0,3.5999999999999996,87.76838
2400.0,1.5,60.0,4500.0,5.4,87.74014
2400.0,4.5,60.0,4500.0,1.2000000000000002,87.73731
2400.0,2.5,60.0,4500.0,2.4000000000000004,87.70017
2700.0,1.5,480.0,4000.0,3.5999999999999996,87.63753
2100.0,4.0,180.0,5000.0,0.6000000000000001,87.50966
2100.0,1.0,180.0,5000.0,6.0,87.503784
2100.0,1.5,180.0,5000.0,2.4000000000000004,87.45665
3000.0,5.0,360.0,4000.0,6.0,87.36482
2100.0,3.0,540.0,4500.0,4.199999999999999,87.259674
3000.0,4.5,360.0,4000.0,2.4000000000000004,87.23186
3000.0,5.0,360.0,4000.0,0.6000000000000001,87.17947
