NTP,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes
2700.0,3.5,0.0,5000.0,0.0,0.7,6.0
1800.0,5.0,60.0,4000.0,0.0,1.0,3.5999999999999996
2400.0,4.0,0.0,4500.0,0.4,0.6,6.0
3000.0,3.0,300.0,5000.0,0.5,1.0,6.0
3000.0,4.5,120.0,5000.0,0.5,0.3,5.4
2100.0,4.5,240.0,5000.0,0.7,0.8,6.0
3000.0,5.0,120.0,3500.0,0.1,1.0,2.4000000000000004
300.0,4.5,0.0,4000.0,0.0,0.7,6.0
2700.0,5.0,60.0,3500.0,0.9,0.1,5.4
2100.0,3.5,0.0,4000.0,0.2,0.5,6.0
1200.0,5.0,60.0,5000.0,0.3,0.6,1.7999999999999998
2400.0,3.5,60.0,4500.0,0.9,0.9,6.0
1800.0,5.0,60.0,2500.0,0.3,0.8,6.0
1500.0,4.5,180.0,4500.0,0.2,0.4,6.0
2400.0,3.0,60.0,5000.0,0.4,0.8,4.199999999999999
2100.0,5.0,60.0,4500.0,0.4,0.0,4.199999999999999
2400.0,5.0,0.0,1000.0,0.7,0.5,5.4
2700.0,3.5,480.0,4500.0,0.1,0.6,4.199999999999999
3000.0,5.0,300.0,4500.0,0.5,0.3,3.5999999999999996
3000.0,0.5,480.0,4500.0,0.3,0.8,5.4
3000.0,3.5,0.0,5000.0,0.8,0.3,4.199999999999999
600.0,4.5,60.0,4500.0,0.1,0.8,2.4000000000000004
2700.0,3.5,540.0,4000.0,0.1,0.9,6.0
3000.0,4.0,240.0,2000.0,0.0,0.9,4.199999999999999
3000.0,3.0,300.0,4000.0,0.1,0.8,3.5999999999999996
3000.0,3.5,180.0,3500.0,0.6,0.8,4.199999999999999
1500.0,5.0,60.0,3000.0,0.1,0.3,5.4
2700.0,5.0,360.0,4000.0,0.0,0.5,0.0
600.0,4.5,60.0,3500.0,0.8,1.0,5.4
2100.0,5.0,0.0,1000.0,0.0,0.1,6.0
1200.0,4.5,120.0,5000.0,0.8,0.5,4.800000000000001
2700.0,0.5,120.0,4000.0,0.0,0.8,5.4
600.0,4.0,60.0,3500.0,0.0,0.7,4.199999999999999
3000.0,3.0,240.0,5000.0,0.8,0.4,6.0
2400.0,4.0,540.0,5000.0,0.1,0.9,4.199999999999999
300.0,5.0,300.0,5000.0,0.1,0.9,4.800000000000001
2400.0,5.0,180.0,5000.0,0.7,0.0,3.0
2100.0,5.0,60.0,3000.0,0.8,1.0,1.7999999999999998
600.0,5.0,420.0,5000.0,0.0,0.6,5.4
3000.0,3.5,240.0,4000.0,0.2,0.8,3.0
0.0,4.5,240.0,4500.0,0.0,0.7,6.0
300.0,5.0,120.0,4500.0,0.0,0.1,0.0
3000.0,1.5,120.0,5000.0,0.1,0.8,3.0
0.0,4.0,60.0,4000.0,0.1,0.6,4.800000000000001
3000.0,3.5,0.0,3000.0,0.7,0.3,4.199999999999999
2400.0,3.0,180.0,2000.0,0.1,0.8,5.4
900.0,5.0,240.0,4500.0,1.0,0.2,5.4
2700.0,4.0,420.0,3000.0,0.5,0.9,5.4
2700.0,1.5,420.0,3500.0,0.1,0.4,5.4
2700.0,4.5,120.0,0.0,0.6,0.3,6.0
2700.0,5.0,120.0,2500.0,0.8,0.6,3.5999999999999996
1200.0,5.0,600.0,4500.0,0.0,0.6,4.800000000000001
2100.0,4.0,240.0,3000.0,0.1,0.8,4.199999999999999
1800.0,5.0,480.0,3000.0,0.8,1.0,6.0
2100.0,3.5,180.0,3500.0,0.8,0.8,4.199999999999999
1200.0,3.5,180.0,5000.0,0.1,0.4,3.5999999999999996
2700.0,0.0,540.0,4500.0,0.3,0.6,4.800000000000001
900.0,4.0,180.0,4000.0,0.1,0.7,3.5999999999999996
2700.0,4.0,180.0,3000.0,0.6,0.7,3.0
0.0,5.0,180.0,3500.0,0.9,0.2,6.0
1800.0,5.0,120.0,3500.0,0.8,0.8,1.7999999999999998
2700.0,2.5,240.0,4000.0,0.2,0.3,5.4
1800.0,2.0,180.0,5000.0,0.1,0.8,3.0
3000.0,5.0,360.0,4000.0,0.3,0.5,0.0
2700.0,4.5,240.0,4000.0,0.2,0.4,0.6000000000000001
1800.0,4.0,60.0,2500.0,0.0,0.7,3.0
2400.0,5.0,480.0,4000.0,1.0,0.0,6.0
900.0,5.0,0.0,2000.0,0.9,0.4,4.199999999999999
2700.0,1.5,420.0,3500.0,0.1,0.8,5.4
2400.0,5.0,240.0,1000.0,0.9,0.3,5.4
2400.0,4.5,420.0,4500.0,1.0,0.0,6.0
1500.0,5.0,240.0,4000.0,0.4,0.6,0.0
3000.0,4.0,540.0,5000.0,0.4,1.0,0.0
2700.0,5.0,180.0,2000.0,0.0,0.7,0.6000000000000001
2100.0,5.0,300.0,4000.0,0.6,0.3,3.0
0.0,5.0,180.0,2500.0,0.2,0.7,6.0
3000.0,3.5,420.0,4000.0,0.4,0.1,6.0
1200.0,3.5,600.0,5000.0,0.0,0.0,4.199999999999999
3000.0,5.0,420.0,2000.0,0.7,0.5,5.4
2100.0,2.0,420.0,3500.0,0.0,1.0,6.0
2100.0,5.0,120.0,3000.0,0.5,0.6,0.0
300.0,5.0,300.0,3500.0,0.3,0.6,5.4
3000.0,5.0,480.0,4500.0,0.5,0.1,1.7999999999999998
600.0,5.0,480.0,5000.0,0.0,0.2,4.199999999999999
0.0,4.5,60.0,4500.0,0.7,0.6,4.199999999999999
1200.0,4.0,60.0,4500.0,0.4,0.5,1.7999999999999998
600.0,4.5,60.0,3000.0,0.0,0.3,1.2000000000000002
1500.0,4.0,180.0,4000.0,0.0,0.3,3.0
2100.0,1.5,180.0,5000.0,0.2,1.0,2.4000000000000004
900.0,5.0,180.0,4500.0,0.7,0.8,2.4000000000000004
3000.0,0.5,600.0,5000.0,0.4,0.2,0.0
2700.0,3.5,0.0,5000.0,0.0,0.7,6.0
3000.0,3.0,300.0,5000.0,0.5,1.0,6.0
1800.0,5.0,60.0,4000.0,0.0,1.0,3.5999999999999996
