Experiment,Reaction,Mg-glutamate (mM),K-glutamate (mM),DTT (mM),Amino acids (mM),HEPES (pH),ATP (mM),GTP (mM),CTP (mM),UTP (mM),tRNA (mg/mL),CoA (mM),NAD (mM),cAMP (mM),Folinic acid (mM),Spermidine (mM),3-PGA (mM),DNA (ug/mL),PEG-8000 (mg/mL),Protease inhibitor (mM),Cell-free protein (mg/mL),deltaFEU,Time to peak (min),Max rate (FEU/min),Rate lag (min),Inflection (min)
DSD1,37,2,60,0,50,8.5,1,1,1.3,1.3,0.1,0.39,0.17,1.13,0.1,1.5,45,60,0,0,4.45,0,0,1,156,900
DSD1,38,2,60,0,50,7.5,2,1,0.5,1.3,0.3,0.13,0.17,1.13,0.1,0.5,45,60,40,2,13.35,6.085714286,256,1.075,248,325
DSD1,39,5,180,3,50,8.5,2,2,1.3,1.3,0.3,0.39,0.5,1.13,0.1,1.5,45,60,40,2,13.35,151.7285714,220,2.1,84,125
DSD1,40,2,180,3,10,8.5,1,2,1.3,1.3,0.3,0.26,0.17,0.38,0.03,0.5,45,60,40,0,4.45,0,0,0.925,212,5
DSD1,41,8,60,3,50,7.5,1,2,0.5,1.3,0.1,0.13,0.17,0.38,0.065,1.5,45,60,40,0,13.35,23.5,640,1.2,216,280
DSD1,42,2,60,3,50,7.5,2,1,1.3,1.3,0.3,0.39,0.335,0.38,0.03,0.5,15,60,0,2,4.45,22.65079365,752,1.225,160,15
DSD1,43,8,180,3,50,7.5,2,1,1.3,1.3,0.1,0.13,0.5,1.13,0.03,0.5,45,60,40,0,4.45,517.9714286,684,3.4,708,355
DSD1,44,2,180,0,10,8.5,2,1,0.5,1.3,0.3,0.13,0.5,0.38,0.1,1.5,45,60,20,0,4.45,0,0,0.875,204,5
DSD1,45,8,60,0,50,7.5,2,1,0.5,0.5,0.1,0.26,0.5,1.13,0.1,1.5,15,60,0,2,13.35,4.885714286,496,0.85,200,20
DSD1,46,2,180,1.5,10,7.5,1,1,1.3,0.5,0.3,0.13,0.17,1.13,0.1,0.5,15,60,40,0,13.35,27.24285714,624,1.45,448,70
DSD1,47,2,60,3,10,8.5,1,1,1.3,1.3,0.1,0.13,0.5,1.13,0.03,1.5,15,60,40,2,13.35,0.628571429,24,0.95,340,30
DSD1,48,2,180,0,10,8.5,2,1,1.3,0.5,0.3,0.39,0.5,1.13,0.065,0.5,15,60,0,2,4.45,0,0,1.2,260,15
DSD1,49,8,60,0,10,8,2,2,1.3,1.3,0.1,0.39,0.17,1.13,0.1,0.5,15,60,40,0,4.45,2.614285714,216,1.1,240,10
DSD2,1,5,120,1.5,70,9,1.5,1.5,0.9,1.7,0.15,0.195,0.665,1.13,0.01,0.1,30,60,60,0,6.675,8.771428571,588,0.837301587,0,5
DSD2,2,11,240,4.5,30,8,2.5,0.5,1.7,0.9,0.05,0.065,0.335,1.13,0.05,1.1,60,60,20,0,2.225,4.285714286,756,0.85,320,245
DSD2,3,11,240,1.5,70,9,1.5,0.5,1.7,1.7,0.05,0.065,0.665,0.755,0.05,0.1,30,60,20,0,6.675,60.35712286,528,1.1999975,360,5
DSD2,4,5,240,4.5,70,8.5,1.5,0.5,0.9,0.9,0.15,0.065,0.665,0.755,0.01,1.1,60,60,20,0,6.675,79.98566429,368,1.1999975,240,10
DSD2,5,5,120,4.5,30,9,2.5,1.5,1.7,1.3,0.05,0.065,0.335,0.755,0.05,0.1,60,60,20,0,6.675,0,0,0.925,168,20
DSD2,6,5,240,4.5,50,8,1.5,0.5,0.9,1.7,0.05,0.195,0.335,0.755,0.05,1.1,30,60,60,0,2.225,13.85714286,704,1.025,692,5
DSD2,7,11,120,4.5,30,9,1.5,0.5,0.9,0.9,0.1,0.195,0.665,1.505,0.05,0.1,60,60,60,0,2.225,17.65714286,644,1.675,84,300
DSD2,8,11,120,1.5,70,9,1.5,0.5,1.7,0.9,0.15,0.065,0.335,0.755,0.01,0.6,60,60,60,0,2.225,1.257142857,404,0.65,228,5
